# Sajo River CS1 bathymetry D(x), digitized from Bahmanpouri et al. (2022) Fig. 5(a)
# [Water Resources Research 58, e2021WR031821, doi:10.1029/2021WR031821]
# method: programmatic color-boundary extraction from the 200-dpi page render
#         (bed = lowest saturated-color pixel per column; axes calibrated from
#         detected tick marks; script: data/digitize_figures.py) 2026-07-06
# checksum: integrated area 13.27 m^2 vs printed A = 13.67 m^2 (-2.9%); wet width
#           23.7 m; max depth 0.90 m.  x measured from the right bank as in the
#           paper's axis (0 at right, increasing leftward to ~24 m).
# columns: x_m, depth_m
x_m,depth_m
0.121,0.027
0.181,0.027
0.242,0.057
0.302,0.057
0.363,0.088
0.423,0.088
0.484,0.118
0.544,0.118
0.605,0.148
0.665,0.148
0.726,0.178
0.786,0.178
0.847,0.208
0.907,0.208
0.968,0.239
1.028,0.239
1.089,0.239
1.149,0.239
1.210,0.239
1.270,0.239
1.331,0.269
1.391,0.269
1.452,0.269
1.512,0.269
1.573,0.269
1.633,0.269
1.694,0.269
1.754,0.269
1.815,0.269
1.875,0.269
1.935,0.269
1.996,0.269
2.056,0.269
2.117,0.269
2.177,0.269
2.238,0.269
2.298,0.269
2.359,0.269
2.419,0.269
2.480,0.269
2.540,0.296
2.601,0.296
2.661,0.296
2.722,0.296
2.782,0.296
2.843,0.296
2.903,0.296
2.964,0.296
3.024,0.296
3.085,0.296
3.145,0.296
3.206,0.296
3.266,0.299
3.327,0.326
3.387,0.326
3.448,0.326
3.508,0.326
3.569,0.326
3.629,0.356
3.690,0.356
3.750,0.356
3.810,0.356
3.871,0.356
3.931,0.387
3.992,0.387
4.052,0.387
4.113,0.387
4.173,0.387
4.234,0.387
4.294,0.387
4.355,0.387
4.415,0.387
4.476,0.387
4.536,0.387
4.597,0.387
4.657,0.387
4.718,0.417
4.778,0.417
4.839,0.417
4.899,0.417
4.960,0.417
5.020,0.417
5.081,0.417
5.141,0.417
5.202,0.417
5.262,0.417
5.323,0.417
5.383,0.417
5.444,0.417
5.504,0.417
5.565,0.417
5.625,0.447
5.685,0.447
5.746,0.447
5.806,0.447
5.867,0.447
5.927,0.447
5.988,0.447
6.048,0.447
6.109,0.447
6.169,0.447
6.230,0.447
6.290,0.447
6.351,0.447
6.411,0.447
6.472,0.447
6.532,0.477
6.593,0.477
6.653,0.477
6.714,0.477
6.774,0.477
6.835,0.477
6.895,0.477
6.956,0.477
7.016,0.477
7.077,0.477
7.137,0.477
7.198,0.477
7.258,0.477
7.319,0.505
7.379,0.508
7.440,0.508
7.500,0.508
7.560,0.508
7.621,0.508
7.681,0.508
7.742,0.508
7.802,0.508
7.863,0.508
7.923,0.508
7.984,0.508
8.044,0.508
8.105,0.508
8.165,0.508
8.226,0.508
8.286,0.508
8.347,0.508
8.407,0.508
8.468,0.508
8.528,0.508
8.589,0.508
8.649,0.508
8.710,0.508
8.770,0.508
8.831,0.508
8.891,0.508
8.952,0.508
9.012,0.508
9.073,0.508
9.133,0.508
9.194,0.508
9.254,0.508
9.315,0.508
9.375,0.538
9.435,0.538
9.496,0.538
9.556,0.538
9.617,0.538
9.677,0.538
9.738,0.538
9.798,0.538
9.859,0.538
9.919,0.568
9.980,0.568
10.040,0.568
10.101,0.568
10.161,0.568
10.222,0.568
10.282,0.568
10.343,0.568
10.403,0.598
10.464,0.598
10.524,0.598
10.585,0.598
10.645,0.598
10.706,0.598
10.766,0.598
10.827,0.628
10.887,0.628
10.948,0.628
11.008,0.628
11.069,0.628
11.129,0.628
11.190,0.628
11.250,0.628
11.310,0.628
11.371,0.628
11.431,0.628
11.492,0.628
11.552,0.659
11.613,0.659
11.673,0.659
11.734,0.659
11.794,0.659
11.855,0.659
11.915,0.659
11.976,0.659
12.036,0.659
12.097,0.659
12.157,0.686
12.218,0.689
12.278,0.689
12.339,0.689
12.399,0.689
12.460,0.719
12.520,0.719
12.581,0.719
12.641,0.716
12.702,0.746
12.762,0.746
12.823,0.746
12.883,0.746
12.944,0.746
13.004,0.776
13.065,0.776
13.125,0.776
13.185,0.776
13.246,0.776
13.306,0.776
13.367,0.776
13.427,0.776
13.488,0.776
13.548,0.776
13.609,0.776
13.669,0.776
13.730,0.776
13.790,0.776
13.851,0.807
13.911,0.807
13.972,0.807
14.032,0.807
14.093,0.807
14.153,0.807
14.214,0.807
14.274,0.807
14.335,0.807
14.395,0.807
14.456,0.807
14.516,0.807
14.577,0.807
14.637,0.807
14.698,0.807
14.758,0.807
14.819,0.837
14.879,0.837
14.940,0.837
15.000,0.837
15.060,0.837
15.121,0.837
15.181,0.837
15.242,0.837
15.302,0.837
15.363,0.837
15.423,0.837
15.484,0.867
15.544,0.867
15.605,0.867
15.665,0.867
15.726,0.867
15.786,0.867
15.847,0.867
15.907,0.867
15.968,0.867
16.028,0.867
16.089,0.867
16.149,0.867
16.210,0.867
16.270,0.867
16.331,0.867
16.391,0.867
16.452,0.867
16.512,0.867
16.573,0.867
16.633,0.867
16.694,0.867
16.754,0.867
16.815,0.867
16.875,0.867
16.935,0.867
16.996,0.867
17.056,0.867
17.117,0.867
17.177,0.867
17.238,0.867
17.298,0.867
17.359,0.867
17.419,0.867
17.480,0.897
17.540,0.897
17.601,0.897
17.661,0.897
17.722,0.897
17.782,0.897
17.843,0.897
17.903,0.897
17.964,0.897
18.024,0.897
18.085,0.897
18.145,0.897
18.206,0.897
18.266,0.894
18.327,0.867
18.387,0.867
18.448,0.867
18.508,0.867
18.569,0.867
18.629,0.867
18.690,0.867
18.750,0.867
18.810,0.867
18.871,0.867
18.931,0.837
18.992,0.837
19.052,0.837
19.113,0.837
19.173,0.837
19.234,0.837
19.294,0.837
19.355,0.837
19.415,0.837
19.476,0.837
19.536,0.837
19.597,0.807
19.657,0.807
19.718,0.807
19.778,0.807
19.839,0.807
19.899,0.807
19.960,0.807
20.020,0.807
20.081,0.807
20.141,0.776
20.202,0.776
20.262,0.776
20.323,0.758
20.383,0.746
20.444,0.746
20.504,0.746
20.565,0.716
20.625,0.719
20.685,0.719
20.746,0.695
20.806,0.689
20.867,0.689
20.927,0.686
20.988,0.659
21.048,0.659
21.109,0.656
21.169,0.628
21.230,0.625
21.290,0.598
21.351,0.595
21.411,0.568
21.472,0.565
21.532,0.538
21.593,0.535
21.653,0.508
21.714,0.505
21.774,0.477
21.835,0.474
21.895,0.447
21.956,0.441
22.016,0.417
22.077,0.411
22.137,0.387
22.198,0.356
22.258,0.356
22.319,0.326
22.379,0.323
22.440,0.296
22.500,0.269
22.560,0.260
22.621,0.239
22.681,0.230
22.742,0.208
22.802,0.178
22.863,0.172
22.923,0.148
22.984,0.118
23.044,0.118
23.105,0.088
23.165,0.088
23.226,0.088
23.286,0.088
23.347,0.057
23.407,0.057
23.468,0.057
23.528,0.057
23.589,0.027
23.649,0.027
23.710,0.027
23.770,0.027
